name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Alfentanil,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/UWKWWN2QKNVgNiNjHD3n8/original/031074700_1630911825-Bahaya-Suntik-Sabu-Lewat-Anus.jpg,https://www.klikdokter.com/obat/obat-antinyeri/alfentanil
Alfidon,,", Dosis, Cara Penggunaan dan Efek Samping"",""meta_description"":""Sanmol adalah obat yang mengandung paracetamol. Sanmol digunakan untuk mengobati demam dan meringankan sakit gigi serta meredakan sakit kepala."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publis",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,demam; sakit kepala,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-demam/alfidon
Algabi,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/algabi
Alganax,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/4MNGMFaipTUTu-rcg-2Gg/original/1669707468-Alganax.jpg,https://www.klikdokter.com/obat/obat-kesehatan-mental/alganax
"Algisite M -  Manfaat, Dosis, dan Efek Samping",,", Dosis, dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis, dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/algisite-m-manfaat-dosis-dan-efek-samping
Alicron,,", dan Efek Samping"",""meta_description"":""Informasi lengkap obat Vitamin B Kompleks IPI; Harga, Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""type"":""obat"",""media_images"":[{""original"":""https://asset-cdn.medkom",Konsultasikan dengan dokter,Suplemen,,False,True,vitamin,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/alicron
Alif,,", Dosis, Cara Pakai dan Efek Samping"",""meta_description"":""Tramadol adalah obat untuk mengatasi nyeri yang bersifat sedang hingga berat. Cari tau Dosis \u0026 Cara pakai, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publish",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,nyeri,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-antinyeri/alif
Alinamin,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Suplemen,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/EnPmH1jt8aAOnBiEzVyes/original/085167100_1591259803-Minum-Obat-shutterstock_465772172.jpg,https://www.klikdokter.com/obat/vitamin-dan-suplemen-dewasa/alinamin
Alinesia,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/alinesia
Alkanzu,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/alkanzu
